group,model,n,mean_prob,median_prob,mean_rank,median_rank,pct_rank1,pct_rank_le_5,pct_rank_le_10,pct_prob_low,pct_prob_mid,pct_prob_high,mean_entropy,mean_time_s
brief,Qwen/Qwen3.5-2B-Base,117,0.17,0.02,76.12,8.0,26.5,43.59,50.43,58.97,33.33,7.69,3.74,0.13
brief,Qwen/Qwen3.5-35B-A3B,117,0.27,0.09,45.0,3.0,38.46,64.96,69.23,43.59,47.86,8.55,2.8,0.33
brief,Qwen/Qwen3.5-9B-Base,117,0.33,0.19,109.95,2.0,47.01,64.1,69.23,41.88,43.59,14.53,2.94,0.17
brief,allenai/Olmo-Hybrid-7B,117,0.38,0.34,27.84,1.0,57.26,73.5,77.78,29.06,60.68,10.26,4.17,0.17
extended,Qwen/Qwen3.5-2B-Base,1,0.26,0.26,2.0,2.0,0.0,100.0,100.0,0.0,100.0,0.0,2.1,0.18
extended,Qwen/Qwen3.5-35B-A3B,1,0.51,0.51,1.0,1.0,100.0,100.0,100.0,0.0,100.0,0.0,1.45,0.52
extended,Qwen/Qwen3.5-9B-Base,1,0.37,0.37,2.0,2.0,0.0,100.0,100.0,0.0,100.0,0.0,1.29,0.37
extended,allenai/Olmo-Hybrid-7B,1,0.23,0.23,2.0,2.0,0.0,100.0,100.0,0.0,100.0,0.0,1.32,0.37
long,Qwen/Qwen3.5-2B-Base,8,0.13,0.0,1089.5,35.5,12.5,37.5,37.5,75.0,12.5,12.5,4.98,0.17
long,Qwen/Qwen3.5-35B-A3B,8,0.28,0.23,391.25,4.0,50.0,50.0,62.5,50.0,50.0,0.0,3.67,0.46
long,Qwen/Qwen3.5-9B-Base,8,0.16,0.01,657.88,16.5,25.0,37.5,37.5,75.0,12.5,12.5,4.45,0.3
long,allenai/Olmo-Hybrid-7B,8,0.2,0.01,1799.62,12.5,25.0,25.0,50.0,75.0,12.5,12.5,4.46,0.3
med,Qwen/Qwen3.5-2B-Base,26,0.64,0.73,13.62,1.0,84.62,88.46,88.46,11.54,61.54,26.92,2.78,0.13
med,Qwen/Qwen3.5-35B-A3B,26,0.74,0.82,1.5,1.0,92.31,96.15,96.15,3.85,69.23,26.92,1.99,0.37
med,Qwen/Qwen3.5-9B-Base,26,0.68,0.8,4.77,1.0,92.31,96.15,96.15,7.69,76.92,15.38,2.35,0.18
med,allenai/Olmo-Hybrid-7B,26,0.34,0.3,2.58,1.0,65.38,92.31,96.15,7.69,92.31,0.0,4.58,0.19
short,Qwen/Qwen3.5-2B-Base,282,0.16,0.01,545.73,10.0,20.21,39.72,51.42,64.54,28.01,7.45,4.25,0.13
short,Qwen/Qwen3.5-35B-A3B,282,0.21,0.04,250.41,4.0,27.3,56.03,64.89,51.42,40.43,8.16,3.5,0.31
short,Qwen/Qwen3.5-9B-Base,282,0.18,0.02,285.1,5.0,23.05,50.35,63.12,59.57,32.62,7.8,3.94,0.17
short,allenai/Olmo-Hybrid-7B,282,0.23,0.02,400.44,6.0,34.04,49.29,56.74,55.67,36.17,8.16,4.34,0.17
