prompt_id,g_profile,g_function,g_spec,g_attention_scales,rep,target_text,target_num_tokens,target_seq_logprob,target_avg_logprob,target_geo_mean_prob,target_first_token_rank,target_first_token_prob,target_rank,target_prob,final_entropy_bits,kl_from_baseline,elapsed_time,model,cartridge,type,tier,source,prompt,target,tokens_approx,metadata_json,g_family,baseline_target_prob,baseline_target_rank,baseline_target_avg_logprob,baseline_target_geo_mean_prob,baseline_final_entropy_bits,baseline_mean_entropy_bits,baseline_top1_top2_logit_margin,baseline_attn_entropy_mean,delta_target_prob,delta_target_rank,delta_target_avg_logprob,delta_target_geo_mean_prob,delta_final_entropy_bits
alg_gen_arithmetic_0000,baseline,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.0}, ""name"": ""baseline""}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1, 97,3,-1.72,-0.57,0.56,2,0.21,2,0.21,1.38,,42.86,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,82 + 15 =, 97,5,"{""a"": 82, ""b"": 15, ""operation"": ""+""}",baseline,0.21,2.0,-0.57,0.56,1.38,3.32,1.23,1.89,0.0,0.0,0.0,0.0,0.0
alg_gen_arithmetic_0000,constant_0.5,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 0.5}, ""name"": ""constant_0.5""}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",1, 97,3,-12.17,-4.06,0.02,1,0.48,1,0.48,8.69,7.26,0.56,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,82 + 15 =, 97,5,"{""a"": 82, ""b"": 15, ""operation"": ""+""}",constant,0.21,2.0,-0.57,0.56,1.38,3.32,1.23,1.89,0.28,-1.0,-3.49,-0.55,7.31
alg_gen_arithmetic_0000,constant_0.75,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 0.75}, ""name"": ""constant_0.75""}","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",1, 97,3,-0.71,-0.24,0.79,1,0.59,1,0.59,2.13,0.59,0.4,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,82 + 15 =, 97,5,"{""a"": 82, ""b"": 15, ""operation"": ""+""}",constant,0.21,2.0,-0.57,0.56,1.38,3.32,1.23,1.89,0.38,-1.0,0.34,0.23,0.75
alg_gen_arithmetic_0000,constant_1.25,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.25}, ""name"": ""constant_1.25""}","[1.25, 1.25, 1.25, 1.25, 1.25, 1.25]",1, 97,3,-1.32,-0.44,0.64,2,0.31,2,0.31,1.5,0.05,0.34,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,82 + 15 =, 97,5,"{""a"": 82, ""b"": 15, ""operation"": ""+""}",constant,0.21,2.0,-0.57,0.56,1.38,3.32,1.23,1.89,0.1,0.0,0.13,0.08,0.12
alg_gen_arithmetic_0000,constant_1.5,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.5}, ""name"": ""constant_1.5""}","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",1, 97,3,-3.16,-1.05,0.35,1,0.48,1,0.48,1.5,0.29,0.35,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,82 + 15 =, 97,5,"{""a"": 82, ""b"": 15, ""operation"": ""+""}",constant,0.21,2.0,-0.57,0.56,1.38,3.32,1.23,1.89,0.28,-1.0,-0.48,-0.22,0.12
alg_gen_arithmetic_0001,baseline,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.0}, ""name"": ""baseline""}","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",1, 131,4,-1.79,-0.45,0.64,2,0.23,2,0.23,1.59,,0.65,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,95 + 36 =, 131,5,"{""a"": 95, ""b"": 36, ""operation"": ""+""}",baseline,0.23,2.0,-0.45,0.64,1.59,3.39,1.08,1.91,0.0,0.0,0.0,0.0,0.0
alg_gen_arithmetic_0001,constant_0.5,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 0.5}, ""name"": ""constant_0.5""}","[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]",1, 131,4,-15.87,-3.97,0.02,3,0.03,3,0.03,0.81,11.19,0.28,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,95 + 36 =, 131,5,"{""a"": 95, ""b"": 36, ""operation"": ""+""}",constant,0.23,2.0,-0.45,0.64,1.59,3.39,1.08,1.91,-0.2,1.0,-3.52,-0.62,-0.78
alg_gen_arithmetic_0001,constant_0.75,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 0.75}, ""name"": ""constant_0.75""}","[0.75, 0.75, 0.75, 0.75, 0.75, 0.75]",1, 131,4,-1.68,-0.42,0.66,1,0.58,1,0.58,2.68,0.63,0.3,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,95 + 36 =, 131,5,"{""a"": 95, ""b"": 36, ""operation"": ""+""}",constant,0.23,2.0,-0.45,0.64,1.59,3.39,1.08,1.91,0.35,-1.0,0.03,0.02,1.09
alg_gen_arithmetic_0001,constant_1.25,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.25}, ""name"": ""constant_1.25""}","[1.25, 1.25, 1.25, 1.25, 1.25, 1.25]",1, 131,4,-2.02,-0.5,0.6,2,0.31,2,0.31,1.5,0.06,0.45,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,95 + 36 =, 131,5,"{""a"": 95, ""b"": 36, ""operation"": ""+""}",constant,0.23,2.0,-0.45,0.64,1.59,3.39,1.08,1.91,0.08,0.0,-0.06,-0.04,-0.09
alg_gen_arithmetic_0001,constant_1.5,constant,"{""g_function"": ""constant"", ""g_params"": {""value"": 1.5}, ""name"": ""constant_1.5""}","[1.5, 1.5, 1.5, 1.5, 1.5, 1.5]",1, 131,4,-5.93,-1.48,0.23,1,0.49,1,0.49,1.5,0.31,0.2,Qwen/Qwen3.5-2B-Base,uniform_check_lite,algorithmic,short,gen_arithmetic,95 + 36 =, 131,5,"{""a"": 95, ""b"": 36, ""operation"": ""+""}",constant,0.23,2.0,-0.45,0.64,1.59,3.39,1.08,1.91,0.26,-1.0,-1.04,-0.41,-0.09
