profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
edges_narrow_bal_0.55,7,31,6,0.7631351347002482,0.5180082787251246,0.5379729191557148,0.0,0.3186915887850467
late_boost_bal_0.60,7,31,6,0.7565631990722784,0.513669867462752,0.5319429263190062,0.0,0.3355140186915888
edges_narrow_bal_0.55,1,7,11,0.7431905675633274,0.5130904424572286,0.5297645913535998,0.0,0.3186915887850467
late_boost_bal_0.60,1,7,11,0.7360107189450301,0.5146031522160714,0.5392115150304213,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,10,0.7348635699890179,0.5149100724489015,0.5398537344773904,0.0,0.3186915887850467
late_boost_bal_0.60,7,31,10,0.7239989187029137,0.5131213050785705,0.536428350355927,0.0,0.3355140186915888
triad_odd_bal_0.45,7,31,6,0.7111266597240302,0.5138437255922937,0.5307844230018225,0.0,0.3121495327102804
edges_narrow_bal_0.55,0,3,4,0.7093877846566017,0.5168157883092172,0.5449000156885461,0.0,0.3186915887850467
edges_narrow_bal_0.55,3,15,4,0.7039893156977984,0.512736283584551,0.5319461038099031,0.0,0.3186915887850467
triad_odd_bal_0.45,1,7,11,0.7016320619630305,0.5133222142671179,0.5297060091772976,0.0,0.3121495327102804
edges_narrow_bal_0.55,4,19,6,0.7006826528929277,0.5155044672129496,0.5335308481067143,0.0,0.3186915887850467
late_boost_bal_0.60,3,15,4,0.6948156506000023,0.5130504722839266,0.5291534932556053,0.0,0.3355140186915888
late_boost_bal_0.60,4,19,6,0.6931780339981742,0.5123594607618444,0.5302821950330854,0.0,0.3355140186915888
triad_odd_bal_0.45,7,31,10,0.6890295495964593,0.5162087509763081,0.5390344311377245,0.0,0.3121495327102804
edges_narrow_bal_0.55,0,3,9,0.6876490914722695,0.5141587117692255,0.5329008926380491,0.0,0.3186915887850467
late_boost_bal_0.60,0,3,4,0.68051197066394,0.5131021081375443,0.5313386144509872,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,8,0.6804886780991918,0.5138759156680304,0.5360806391272341,0.0,0.3186915887850467
triad_odd_bal_0.45,0,3,4,0.6772813069513148,0.513412604139547,0.5349552932179119,0.0,0.3121495327102804
late_boost_bal_0.60,7,31,8,0.6740751188055585,0.5163498387848728,0.5387615622392252,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,5,0.6720691583296123,0.5153426740523515,0.5378982979938775,0.0,0.3186915887850467
late_boost_bal_0.60,0,3,9,0.6677205395515751,0.5138090256964767,0.5344863251178261,0.0,0.3355140186915888
edges_narrow_bal_0.55,7,31,11,0.6668879153944866,0.513504217805293,0.5347509342730369,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,7,0.6666586212583823,0.5203906850262883,0.5481121449460756,0.0,0.3186915887850467
edges_narrow_bal_0.55,2,11,0,0.6662523281400222,0.5165406353458922,0.5354973470266182,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,12,0.6639070916251323,0.5148353306059399,0.5297432710216462,0.0,0.3186915887850467
triad_odd_bal_0.45,3,15,4,0.6631817885967195,0.5166941388961208,0.5373055519395991,0.0,0.3121495327102804
triad_odd_bal_0.45,0,3,9,0.6580887138765946,0.5207285700338452,0.5472939989586045,0.0,0.3121495327102804
triad_odd_bal_0.45,4,19,6,0.657344278833637,0.5159551549075763,0.5375107800702942,0.0,0.3121495327102804
edges_narrow_bal_0.55,0,3,13,0.653938830760814,0.5154306103648995,0.5396972512862597,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,5,0.6537175820329942,0.5165634038513369,0.5374895912530321,0.0,0.3186915887850467
edges_narrow_bal_0.55,0,3,10,0.6493529480387306,0.5153910269561404,0.531864845186231,0.0,0.3186915887850467
late_boost_bal_0.60,7,31,5,0.6479907854683074,0.5159575943490475,0.5388734138037758,0.0,0.3355140186915888
triad_odd_bal_0.45,2,11,0,0.6474591577714137,0.5148022162197344,0.533229058187972,0.0,0.3121495327102804
