export_version,source_kind,benchmark_run,task,model_label,model_family,winner_scope,winner_objective,example_id,winner_profile,winner_family,oracle_margin,predicted,correct_idx,correct
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_0,constant_2.6,constant,2.7280516922473907,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_1,constant_2.6,constant,3.235499382019043,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_2,triad_odd_bal_0.45,shaped,-4.644981466466561,1,2,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_3,constant_2.6,constant,-3.3455370162264444,0,3,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_4,triad_odd_bal_0.45,shaped,-8.978913457831368,2,3,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_5,edges_narrow_bal_0.55,shaped,-5.325670838356018,3,1,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_6,baseline,baseline,1.391053892672062,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_7,constant_2.6,constant,3.132898971438408,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_8,baseline,baseline,-0.3198583945631981,0,1,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_9,constant_2.6,constant,5.374999850988388,0,0,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_10,triad_odd_bal_0.45,shaped,1.9519479274749756,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_11,late_boost_bal_0.60,shaped,2.199284452944994,0,0,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_12,triad_odd_bal_0.45,shaped,-0.33577996492385864,1,2,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_13,late_boost_bal_0.60,shaped,1.4219520092010498,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_14,late_boost_bal_0.60,shaped,0.8871817886829376,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_15,constant_2.6,constant,3.400242030620575,0,0,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_16,triad_odd_bal_0.45,shaped,4.182784468866885,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_17,triad_odd_bal_0.45,shaped,2.6236998569220304,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_18,constant_2.6,constant,1.4865839779376984,0,0,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_19,triad_odd_bal_0.45,shaped,-9.145213704556227,3,2,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_20,triad_odd_bal_0.45,shaped,3.2757884562015533,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_21,edges_narrow_bal_0.55,shaped,9.969155770922953,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_22,edges_narrow_bal_0.55,shaped,-6.223648175597191,3,0,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_23,baseline,baseline,5.41026109457016,2,2,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_24,constant_2.6,constant,5.247595548629761,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_25,constant_2.6,constant,3.1048178747296333,3,3,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_26,baseline,baseline,-1.8962334841489792,0,1,False
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_27,baseline,baseline,1.6363463938469067,1,1,True
v1,bench,routed_9B,arc_challenge,Qwen 9B,qwen_hybrid,selected_panel,benchmark_oracle_recorded,arc_challenge_test_28,constant_2.6,constant,1.593059778213501,2,2,True
