task_class,n,winner_eta2,ci_lo,ci_hi,pooled_eta2,constant_2.6_fraction
factual_recall,150,0.07014822661630592,0.032897971693505786,0.17820036285698684,0.1616986183995825,0.04666666666666667
domain_knowledge,120,0.004416614797484579,0.004363316117837729,0.10118264614212273,0.1616986183995825,0.025
code_comprehension,100,0.5853162859165117,0.3525734009102348,0.7660577989271588,0.1616986183995825,0.85
structural_copying,100,0.038388802055665604,0.009790467927750741,0.1479491429341944,0.1616986183995825,0.3
syntactic_pattern,100,0.04097164533339392,0.007257051473991934,0.24181157194684194,0.1616986183995825,0.13
reasoning_numerical,90,0.2084130888797465,0.08576800294772893,0.35862639837169236,0.1616986183995825,0.9111111111111111
reasoning_tracking,90,0.12655953948768242,0.042389887723607654,0.27647525049653,0.1616986183995825,0.6777777777777778
algorithmic,80,0.5002448570524529,0.3093221207747255,0.7062208910997588,0.1616986183995825,0.625
factual_retrieval,80,0.09922058841477449,0.024182756364866553,0.33963081055210054,0.1616986183995825,0.0625
cultural_memorized,80,0.022088694424265618,0.009925496508763055,0.14793136513194952,0.1616986183995825,0.1125
long_range_retrieval,80,0.025333957208027853,0.010585345620013419,0.16428894126348456,0.1616986183995825,0.2125
