task_class,n,within_class_rho,p_value,weighted_mean_within_class_rho,pooled_partial_rho,flag
algorithmic,80,-0.10075011720581342,0.3738852142810768,-0.06581458766589814,-0.20125469664536302,False
code_comprehension,100,0.2097329732973297,0.03623197475208648,-0.06581458766589814,-0.20125469664536302,True
cultural_memorized,80,-0.08884200656352556,0.43323247281089405,-0.06581458766589814,-0.20125469664536302,False
domain_knowledge,120,0.062164039169386745,0.49999475478000166,-0.06581458766589814,-0.20125469664536302,True
factual_recall,150,-0.045909595982043645,0.5769358853569027,-0.06581458766589814,-0.20125469664536302,False
factual_retrieval,80,0.06514299109235819,0.5659023016066219,-0.06581458766589814,-0.20125469664536302,True
long_range_retrieval,80,-0.3745663384903892,0.0006193158233997672,-0.06581458766589814,-0.20125469664536302,False
reasoning_numerical,90,0.23430876239865003,0.026228138475337878,-0.06581458766589814,-0.20125469664536302,True
reasoning_tracking,90,-0.1877186483928057,0.07643633733255734,-0.06581458766589814,-0.20125469664536302,False
structural_copying,100,-0.12828082808280827,0.20339351257810764,-0.06581458766589814,-0.20125469664536302,False
syntactic_pattern,100,-0.434119411941194,6.408490516217919e-06,-0.06581458766589814,-0.20125469664536302,True
